
央视频,#genre#
江苏公共新闻,http://dp.sxtv.top:88/2b/migu.php?id=jsggxw
江苏国际,http://dp.sxtv.top:88/2b/migu.php?id=jsgj
江苏教育,http://dp.sxtv.top:88/2b/migu.php?id=jsjy
江苏体育休闲,http://dp.sxtv.top:88/2b/migu.php?id=jstyxx
优漫卡通,http://dp.sxtv.top:88/2b/migu.php?id=ymkt
南京新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=njxwzh
南京教科,http://dp.sxtv.top:88/2b/migu.php?id=njkj
南京十八,http://dp.sxtv.top:88/2b/migu.php?id=njsb
淮安新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=haxwzh
连云港新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=lygxwzh
苏州新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=szxwzh
泰州新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=tzxwzh
宿迁新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=sqxwzh
徐州新闻综合,http://dp.sxtv.top:88/2b/migu.php?id=xzxwzh
广东影视,http://dp.sxtv.top:88/2b/migu.php?id=gdys
嘉佳卡通,http://dp.sxtv.top:88/2b/migu.php?id=jjkt
24小时亚洲杯频道,http://dp.sxtv.top:88/2b/migu.php?id=24hyzb
CBA经典,http://dp.sxtv.top:88/2b/migu.php?id=cbajd
掼蛋精英赛,http://dp.sxtv.top:88/2b/migu.php?id=gdjys
高清大片,http://dp.sxtv.top:88/2b/migu.php?id=gqdp
和平精英赛事,http://dp.sxtv.top:88/2b/migu.php?id=hpjxss
红色轮播台,http://dp.sxtv.top:88/2b/migu.php?id=hslbt
经典动画大集合,http://dp.sxtv.top:88/2b/migu.php?id=jddhdjh
经典深圳旁边电影,http://dp.sxtv.top:88/2b/migu.php?id=jdxgdy
军事迷必看大片,http://dp.sxtv.top:88/2b/migu.php?id=jsdp
历届春晚回顾,http://dp.sxtv.top:88/2b/migu.php?id=ljcwhg
咪咕24小时体育台,http://dp.sxtv.top:88/2b/migu.php?id=mg24hty
玫瑰轮播台,http://dp.sxtv.top:88/2b/migu.php?id=mglbt
NBA经典,http://dp.sxtv.top:88/2b/migu.php?id=nbajd
欧洲足球风云,http://dp.sxtv.top:88/2b/migu.php?id=ozzqfy
全民乒乓,http://dp.sxtv.top:88/2b/migu.php?id=qmpp
热剧联播,http://dp.sxtv.top:88/2b/migu.php?id=rjlb
赛事最经典,http://dp.sxtv.top:88/2b/migu.php?id=sszjd
体坛名栏汇,http://dp.sxtv.top:88/2b/migu.php?id=ttmlh
UFC格斗精选,http://dp.sxtv.top:88/2b/migu.php?id=ufcgdjx
五大联赛经典,http://dp.sxtv.top:88/2b/migu.php?id=wdlsjd
乡村振兴,http://dp.sxtv.top:88/2b/migu.php?id=xczx
